HR=59 GSR=518 (X,Y,Z)=(14.0, 1.1, 14.4) Time=7.923166
HR=59 GSR=518 (X,Y,Z)=(14.0, 1.1, 14.2) Time=7.94983
HR=59 GSR=518 (X,Y,Z)=(13.9, 1.1, 14.0) Time=7.975026
HR=59 GSR=518 (X,Y,Z)=(13.9, 1.1, 13.6) Time=8.005896
HR=59 GSR=518 (X,Y,Z)=(13.9, 1.1, 13.4) Time=8.037094
HR=59 GSR=518 (X,Y,Z)=(13.9, 1.1, 13.0) Time=8.068305
HR=59 GSR=518 (X,Y,Z)=(13.9, 1.1, 12.6) Time=8.108605
HR=59 GSR=518 (X,Y,Z)=(13.9, 1.1, 12.4) Time=8.139179
HR=59 GSR=518 (X,Y,Z)=(13.9, 1.1, 12.1) Time=8.171488
HR=59 GSR=518 (X,Y,Z)=(13.8, 1.1, 12.1) Time=8.201333
HR=59 GSR=518 (X,Y,Z)=(13.7, 1.1, 12.1) Time=8.229732
HR=59 GSR=518 (X,Y,Z)=(13.6, 1.1, 12.0) Time=8.256121
HR=59 GSR=518 (X,Y,Z)=(13.4, 1.1, 11.8) Time=8.283707
HR=59 GSR=518 (X,Y,Z)=(13.4, 1.1, 11.8) Time=8.318093
HR=59 GSR=518 (X,Y,Z)=(13.2, 1.1, 11.6) Time=8.3437
HR=59 GSR=518 (X,Y,Z)=(13.1, 1.1, 11.6) Time=8.369378
HR=59 GSR=518 (X,Y,Z)=(13.0, 1.1, 11.5) Time=8.396724
HR=59 GSR=518 (X,Y,Z)=(12.8, 1.1, 11.3) Time=8.425074
HR=59 GSR=518 (X,Y,Z)=(12.7, 1.1, 11.3) Time=8.454853
HR=59 GSR=518 (X,Y,Z)=(12.5, 1.1, 11.1) Time=8.482025
HR=59 GSR=518 (X,Y,Z)=(12.4, 1.1, 11.1) Time=8.518318
HR=59 GSR=518 (X,Y,Z)=(12.3, 1.1, 11.0) Time=8.559683
HR=59 GSR=518 (X,Y,Z)=(12.2, 1.1, 10.8) Time=8.586454
HR=59 GSR=518 (X,Y,Z)=(12.1, 1.1, 10.7) Time=8.616877
HR=59 GSR=518 (X,Y,Z)=(12.2, 1.1, 10.4) Time=8.64216
HR=59 GSR=518 (X,Y,Z)=(12.3, 1.1, 10.2) Time=8.671516
HR=59 GSR=518 (X,Y,Z)=(12.3, 1.1, 10.0) Time=8.699877
HR=59 GSR=518 (X,Y,Z)=(12.2, 1.4, 9.6) Time=8.729967
HR=59 GSR=518 (X,Y,Z)=(12.3, 1.1, 9.2) Time=8.761763
HR=59 GSR=518 (X,Y,Z)=(12.3, 1.1, 9.2) Time=8.787438
HR=59 GSR=518 (X,Y,Z)=(12.3, 1.1, 9.2) Time=8.816257
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=8.840556
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=8.870868
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=8.897141
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=8.941263
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=8.980537
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.007064
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.0397
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.066832
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.093001
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.119142
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.147269
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.18182
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.213884
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.243999
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.290143
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.323793
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.362386
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.393245
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.421294
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.45024
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.475705
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.503832
HR=59 GSR=519 (X,Y,Z)=(12.3, 1.1, 9.2) Time=9.54425
HR=59 GSR=519 (X,Y,Z)=(12.4, 1.3, 9.2) Time=9.582241
HR=59 GSR=519 (X,Y,Z)=(12.5, 1.4, 9.1) Time=9.617158
HR=59 GSR=519 (X,Y,Z)=(12.7, 1.6, 9.0) Time=9.656175
HR=59 GSR=519 (X,Y,Z)=(12.9, 1.6, 8.6) Time=9.697029
HR=59 GSR=519 (X,Y,Z)=(13.1, 1.7, 8.3) Time=9.735069
HR=59 GSR=519 (X,Y,Z)=(13.3, 1.7, 8.0) Time=9.767959
